gene,drug,interaction
629,610,1.0
540,346,1.0
172,120,1.0
630,840,1.0
631,448,1.0
409,827,1.0
633,841,1.0
634,431,1.0
635,608,1.0
237,842,1.0
21,843,1.0
636,448,1.0
132,844,1.0
37,176,1.0
12,575,1.0
164,845,1.0
446,405,1.0
424,846,1.0
85,824,1.0
638,833,1.0
447,544,1.0
315,847,1.0
259,848,1.0
4,599,1.0
639,395,1.0
561,395,1.0
640,849,1.0
641,850,1.0
141,395,1.0
507,395,1.0
37,854,1.0
153,856,1.0
642,859,1.0
643,618,1.0
132,860,1.0
164,861,1.0
259,862,1.0
644,416,1.0
645,198,1.0
132,863,1.0
37,864,1.0
446,770,1.0
646,865,1.0
647,624,1.0
237,866,1.0
232,867,1.0
314,868,1.0
648,431,1.0
132,869,1.0
259,842,1.0
455,870,1.0
12,871,1.0
540,448,1.0
649,241,1.0
650,631,1.0
28,259,1.0
651,277,1.0
652,295,1.0
105,872,1.0
30,277,1.0
446,873,1.0
653,395,1.0
654,448,1.0
85,607,1.0
358,877,1.0
655,878,1.0
656,624,1.0
241,831,1.0
189,880,1.0
658,431,1.0
305,581,1.0
105,575,1.0
659,827,1.0
70,376,1.0
141,376,1.0
64,885,1.0
261,612,1.0
153,886,1.0
660,33,1.0
661,808,1.0
241,839,1.0
64,887,1.0
446,888,1.0
164,889,1.0
37,890,1.0
123,892,1.0
12,893,1.0
280,833,1.0
663,894,1.0
153,895,1.0
12,896,1.0
192,897,1.0
85,898,1.0
594,899,1.0
664,624,1.0
161,900,1.0
665,618,1.0
300,901,1.0
666,902,1.0
667,903,1.0
85,873,1.0
627,904,1.0
189,905,1.0
261,906,1.0
237,831,1.0
237,349,1.0
603,575,1.0
30,824,1.0
105,781,1.0
424,884,1.0
84,910,1.0
132,911,1.0
84,912,1.0
670,577,1.0
671,544,1.0
460,914,1.0
672,915,1.0
146,448,1.0
673,916,1.0
616,877,1.0
616,871,1.0
114,917,1.0
674,918,1.0
0,331,1.0
675,919,1.0
241,871,1.0
359,920,1.0
153,581,1.0
2,922,1.0
4,618,1.0
105,923,1.0
677,900,1.0
56,924,1.0
594,926,1.0
241,777,1.0
678,928,1.0
192,920,1.0
457,928,1.0
153,575,1.0
48,929,1.0
37,889,1.0
679,896,1.0
247,930,1.0
446,931,1.0
237,932,1.0
21,933,1.0
647,934,1.0
30,935,1.0
30,937,1.0
12,938,1.0
404,631,1.0
601,431,1.0
30,210,1.0
30,43,1.0
637,943,1.0
359,944,1.0
28,891,1.0
684,946,1.0
74,947,1.0
685,948,1.0
686,295,1.0
164,949,1.0
192,873,1.0
259,950,1.0
132,952,1.0
237,926,1.0
455,954,1.0
0,955,1.0
237,892,1.0
12,956,1.0
63,955,1.0
27,957,1.0
63,958,1.0
192,563,1.0
84,871,1.0
64,177,1.0
